City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
381,Inhambane,MZ,73.53,overcast clouds,-23.865,35.3833,Oceano
382,Sungaipenuh,ID,75.27,overcast clouds,-2.0833,101.3833,penginapan citra alam
384,Flinders,AU,70.81,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
385,Arlit,NE,72.36,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
387,Kango,GA,73.85,broken clouds,0.1943,10.0951,Hôtel Bar Restaurant Le Bercail
390,Sokoni,TZ,79.97,broken clouds,-6.4333,39.55,Ujamaa Beach Resort
393,Wau,SS,73.72,broken clouds,7.7029,27.9953,Universal Gab Hotel
402,Ponta Do Sol,PT,70.0,few clouds,32.6667,-17.1,Hotel do Campo
408,Bani,DO,75.04,broken clouds,18.2833,-70.3333,Hospedaje Henriquez
410,Salalah,OM,71.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
418,Uruacu,BR,73.2,overcast clouds,-14.5247,-49.1408,Cassius Hotel
428,Cerritos,US,79.05,clear sky,33.8583,-118.0648,Sheraton Cerritos Hotel
439,Saint-Joseph,RE,75.56,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
443,Axim,GH,79.02,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
457,Maceio,BR,78.24,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
458,Kalemie,CD,70.63,overcast clouds,-5.9475,29.1947,Mahobilali
460,Stabat,ID,79.0,overcast clouds,3.761,98.4513,Link VII damai
462,Ipora,BR,70.3,moderate rain,-16.4419,-51.1178,Oásis Motel
464,Prainha,BR,73.78,overcast clouds,-1.8,-53.48,Casa Rocha
477,Salta,AR,75.49,clear sky,-24.7859,-65.4117,Hotel Alejandro I
485,Bogande,BF,76.37,few clouds,12.9714,-0.1436,Auberge Wendkouni
486,Sinnamary,GF,78.57,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
